"","X","Y","Cdh9","Ctgf","Slc17a6","Lxn","Slc30a3","Gfra1","Spon1","Gnb4","Nnat","Synpr","Pcp4","Slc17a7","region","anum","section","id"
"247",362.814,92.901,3.65507124895222,0.299245599329422,31.6388097233864,33.0773260687343,0.41894383906119,19.5941743503772,7.96955155071249,60.641051969824,0.0598491198658843,23.9086546521375,0.479861693210394,32.2982187761945,"ant","1234560","1",247
"248",386.472,91.697,2.7250552811441,0,0.307564183562116,0.0878754810177474,0.395439664579863,0.703003848141979,4.65923123312848,0.131813221526621,0.0439377405088737,0.922692550686348,4.35166704956637,1.36298532536902,"ant","1234560","1",248
"249",496.74,91.279,10.7676314583197,0.609488573112435,8.32967716586995,15.6435400432192,3.86009429637876,5.38381572915985,1.1173957173728,24.0761901643638,0.40632571540829,14.4245628969943,4.87590858489948,74.6651332591186,"ant","1234560","1",249
"250",783.889,92.231,6.34146274143956,0,1.5596760749201,1.14301170833494,25.2602772242248,1.76660060832556,27.4435421991355,0.93608717492948,0.208332183292576,0.623588899990616,35.2405149238489,152.915822536751,"ant","1234560","1",250
"251",176.198,92.251,0,0,0.821316590090649,0,0,0.205823916552837,0,0,0,0.205823916552837,0,0,"ant","1234560","1",251
"252",28.394,92.187,3.28997986250955,0,0.658704256648844,0,0,0,0.658704256648844,0,0,0,0.329352128324422,0,"ant","1234560","1",252
"253",655.206,92.66,7.49349928530154,0,0,2.95862352118245,0,0,0,0,0.393578358322435,0,0,0,"ant","1234560","1",253
"254",450.674,95.467,6.82660028449502,0,0.153556187766714,2.07119487908962,0.0761735419630157,0.460668563300142,0.307112375533428,0.9975106685633,0.153556187766714,0,50.3894025604552,35.2042674253201,"ant","1234560","1",254
"255",506.155,98.641,5.46058660359367,0.555768825925972,17.2635691553255,26.614537540401,0.22893886295246,10.0377849739329,0,38.9409216995034,0.195782200042104,19.5198011219397,0.621292707391676,34.4939816477406,"ant","1234560","1",255
"256",531.662,94.04,5.93776003836227,0,0.339865732056472,0,0.169033750334965,1.52669844717431,0,0,0.848765214447908,0.848765214447908,0,0,"ant","1234560","1",256
"257",848.041,96.88,8.13207985915025,0,0.150782314055078,2.10756403016311,16.5640301631067,2.25834634421818,6.47516858784839,0.150782314055078,0.150782314055078,0.452346942165233,3.76447530146497,24.2437630800917,"ant","1234560","1",257
"258",424.922,96.087,2.59395512221484,0,0.32442382823495,0.6488476564699,0,0.432086603091681,0.756510431326631,0,0.107662774856731,0.216761053378219,0,0,"ant","1234560","1",258
"259",603.556,97.819,6.36522379834188,0,0.612540135141611,1.83609287391575,3.18337566492548,0.612540135141611,0,0,0.244405041453012,0.122202520726506,9.54859946326736,37.8262627593808,"ant","1234560","1",259
"260",677.957,95.382,5.24781583691582,0.164436277908751,0.491540701705727,2.13236721675218,2.29680349466093,0.491540701705727,0.164436277908751,0,0.328872555817501,0.328872555817501,1.47639023713771,0,"ant","1234560","1",260
"261",809.688,98.294,2.92975873325579,0,0.144478631195828,0.144478631195828,15.0812727477393,1.15295861318525,7.97311545533001,0.240159843908296,0.144478631195828,0.240159843908296,3.16991857716408,29.8735882330869,"ant","1234560","1",261
"262",740.392,97.523,3.07793954005935,0,1.81024357072206,0.0906435459940653,9.8683234421365,1.44898306132542,6.33716617210683,0.633191147378833,0.271930637982196,0.181287091988131,12.6756460187933,21.7294912215628,"ant","1234560","1",262
"263",611.608,96.497,10.7217658329178,0,9.105469672712,6.46183827196137,3.08367890606546,3.37815936589591,0,9.105469672712,0.440047505314821,2.49639117083541,5.28726280150127,34.3672082097583,"ant","1234560","1",263
"264",198.127,97.768,1.19447251225628,0.132012274989708,0.531230118633285,0.397627334306351,0,0.531230118633285,0,0,0.397627334306351,0,0,0,"ant","1234560","1",264
"265",570.858,98.418,3.99958307397794,0,0.353388845173641,0.118295418511515,0,0.118295418511515,0,0,0,0,0.235093426662125,0,"ant","1234560","1",265
