 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
2645,167.093,0.000,0,0,461.666,976.222,0.895,1,1.034,0.968,0.970
2646,168.877,0.000,0,0,684.880,976.686,0.806,1,1.492,0.670,0.966
2647,238.757,0.336,0,255,349.915,979.180,0.868,1,1.213,0.824,0.973
2648,157.545,0.425,0,255,768.492,977.060,0.863,1,1.234,0.810,0.965
2649,206.388,0.259,0,255,131.176,979.179,0.873,1,1.138,0.879,0.974
2650,231.098,58.352,0,255,114.382,980.769,0.852,1,1.246,0.802,0.967
2651,278.419,0.000,0,0,450.134,981.855,0.888,1,1.116,0.896,0.979
2652,257.749,0.104,0,255,633.039,984.504,0.803,1,1.723,0.580,0.974
2653,251.978,59.463,0,255,66.262,982.261,0.907,1,1.065,0.939,0.979
2654,232.042,3.863,0,255,196.309,982.171,0.875,1,1.310,0.763,0.977
2655,468.963,0.970,0,255,301.796,986.979,0.763,1,1.261,0.793,0.951
2656,189.338,5.229,0,255,107.099,983.440,0.850,1,1.349,0.741,0.969
2657,163.578,0.000,0,0,464.413,982.691,0.873,1,1.275,0.784,0.970
2658,315.720,3.220,0,255,773.458,986.670,0.858,1,1.146,0.873,0.971
2659,164.103,0.000,0,0,859.402,983.178,0.904,1,1.096,0.912,0.975
2660,157.283,0.340,0,255,691.218,984.811,0.845,1,1.281,0.781,0.962
2661,290.381,0.000,0,0,368.580,987.361,0.895,1,1.199,0.834,0.979
2662,152.194,0.000,0,0,685.757,982.918,0.826,1,1.212,0.825,0.964
2663,415.137,1.289,0,255,706.505,988.388,0.831,1,1.434,0.697,0.971
2664,165.677,0.000,0,0,586.134,986.111,0.834,1,1.547,0.646,0.968
2665,395.148,0.914,0,255,553.903,988.176,0.767,1,1.273,0.785,0.935
2666,201.142,0.000,0,0,727.598,984.093,0.859,1,1.494,0.669,0.979
2667,278.629,60.401,0,255,213.042,988.721,0.869,1,1.216,0.822,0.977
2668,333.347,0.602,0,255,272.787,989.930,0.866,1,1.175,0.851,0.972
2669,299.614,0.402,0,255,799.677,987.975,0.867,1,1.311,0.763,0.973
2670,291.010,0.184,0,255,678.758,990.462,0.846,1,1.255,0.797,0.967
2671,357.060,2.660,0,255,228.601,990.770,0.849,1,1.094,0.914,0.966
2672,191.279,1.399,0,255,32.466,988.600,0.882,1,1.113,0.898,0.973
2673,188.131,0.996,0,255,130.083,987.198,0.895,1,1.179,0.849,0.979
2674,230.049,1.279,0,255,41.931,988.633,0.854,1,1.041,0.961,0.967
2675,252.083,0.318,0,255,755.196,990.076,0.869,1,1.044,0.958,0.969
2676,155.499,1.979,0,255,23.472,988.657,0.892,1,1.173,0.852,0.973
2677,210.060,7.260,0,255,313.287,991.317,0.816,1,1.461,0.684,0.958
2678,205.339,2.801,0,255,50.595,990.992,0.858,1,1.150,0.869,0.964
2679,229.944,0.000,0,0,528.614,991.155,0.877,1,1.222,0.818,0.972
2680,201.824,3.182,0,255,82.042,991.951,0.892,1,1.026,0.975,0.974
2681,175.750,0.000,0,0,3.807,997.502,0.520,1,2.688,0.372,0.697
2682,199.568,0.670,0,255,392.454,991.734,0.885,1,1.152,0.868,0.974
2683,464.242,0.865,0,255,782.000,998.671,0.809,1,1.326,0.754,0.961
2684,233.196,0.344,0,255,546.949,994.936,0.818,1,1.360,0.735,0.958
2685,221.812,0.000,0,0,460.270,995.939,0.841,1,1.459,0.685,0.973
2686,260.897,0.000,0,0,824.505,994.911,0.888,1,1.180,0.847,0.977
2687,187.974,11.174,0,255,318.714,995.151,0.850,1,1.268,0.789,0.965
2688,230.888,11.472,0,255,137.834,997.032,0.887,1,1.232,0.811,0.978
2689,312.887,0.599,0,255,669.091,998.131,0.873,1,1.297,0.771,0.975
2690,199.148,0.605,0,255,718.410,998.379,0.894,1,1.085,0.922,0.974
2691,505.267,0.556,0,255,701.696,1002.927,0.753,1,1.337,0.748,0.936
2692,183.042,0.146,0,255,175.286,998.299,0.884,1,1.130,0.885,0.972
2693,188.026,0.000,0,0,483.130,998.155,0.889,1,1.180,0.848,0.976
2694,286.446,0.093,0,255,610.399,1000.472,0.775,1,1.460,0.685,0.956
2695,188.708,0.000,0,0,401.895,997.963,0.854,1,1.195,0.836,0.959
2696,173.022,8.351,0,255,145.816,998.928,0.886,1,1.166,0.858,0.977
2697,207.227,0.000,0,0,748.188,999.327,0.868,1,1.124,0.890,0.968
2698,182.622,0.366,0,255,793.051,998.004,0.856,1,1.230,0.813,0.978
2699,236.554,0.000,0,0,443.956,1003.235,0.825,1,1.358,0.736,0.964
2700,285.134,0.000,0,0,585.995,1001.683,0.866,1,1.315,0.760,0.977
2701,228.317,0.000,0,0,255.306,1001.465,0.879,1,1.065,0.939,0.977
2702,219.346,1.891,0,255,288.359,1002.223,0.892,1,1.161,0.861,0.977
2703,222.179,0.000,0,0,376.746,1002.436,0.883,1,1.100,0.909,0.972
2704,284.400,0.000,0,0,393.891,1005.225,0.882,1,1.203,0.831,0.979
2705,222.756,3.123,0,255,205.101,1004.272,0.887,1,1.128,0.886,0.972
2706,431.452,0.372,0,255,760.172,1006.286,0.855,1,1.166,0.857,0.972
2707,147.000,0.000,0,0,641.523,1005.305,0.801,1,1.543,0.648,0.955
2708,208.172,0.193,0,255,548.341,1004.793,0.852,1,1.250,0.800,0.968
2709,163.736,0.327,0,255,183.981,1004.689,0.879,1,1.177,0.849,0.970
2710,186.190,0.000,0,0,558.316,1005.155,0.890,1,1.064,0.940,0.974
2711,260.687,3.336,0,255,214.861,1007.121,0.880,1,1.086,0.921,0.973
2712,275.796,0.291,0,255,795.421,1007.912,0.847,1,1.208,0.828,0.970
2713,182.780,1.976,0,255,326.947,1006.044,0.840,1,1.384,0.723,0.972
2714,198.361,0.000,0,0,512.409,1007.052,0.874,1,1.324,0.755,0.974
2715,199.673,0.134,0,255,541.536,1007.246,0.851,1,1.183,0.846,0.967
2716,248.883,112.396,0,255,44.315,1008.698,0.885,1,1.119,0.893,0.975
2717,410.205,0.261,0,255,728.651,1011.991,0.797,1,1.192,0.839,0.970
2718,370.438,27.483,0,255,123.794,1012.328,0.720,1,1.592,0.628,0.917
2719,265.198,1.967,0,255,320.770,1011.704,0.879,1,1.038,0.963,0.973
2720,348.037,28.444,0,255,30.942,1014.428,0.855,1,1.095,0.914,0.967
2721,228.002,0.000,0,0,457.076,1012.491,0.825,1,1.601,0.624,0.972
2722,161.795,3.555,0,255,171.383,1009.662,0.841,1,1.162,0.860,0.962
2723,235.505,44.933,0,255,192.784,1012.463,0.873,1,1.248,0.801,0.976
2724,427.833,0.125,0,255,358.977,1019.121,0.754,1,1.591,0.629,0.940
2725,312.048,98.562,0,255,67.224,1016.604,0.748,1,1.390,0.720,0.943
2726,160.483,0.417,0,255,351.881,1012.743,0.842,1,1.497,0.668,0.968
2727,285.134,0.000,0,0,379.855,1014.865,0.876,1,1.220,0.820,0.977
2728,215.254,1.554,0,255,178.004,1015.075,0.859,1,1.303,0.768,0.970
2729,132.625,0.000,0,0,646.887,1012.064,0.795,1,1.491,0.670,0.943
2730,183.147,2.703,0,255,110.615,1013.870,0.837,1,1.507,0.664,0.967
2731,257.906,0.052,0,255,272.405,1015.866,0.888,1,1.184,0.845,0.978
2732,190.702,0.000,0,0,431.119,1014.848,0.901,1,1.132,0.883,0.977
2733,280.885,0.429,0,255,244.509,1017.463,0.880,1,1.134,0.881,0.978
2734,245.158,0.000,0,0,589.478,1018.655,0.793,1,1.548,0.646,0.958
2735,232.095,1.326,0,255,582.060,1019.618,0.820,1,1.141,0.876,0.960
2736,242.640,0.000,0,0,774.301,1019.242,0.884,1,1.103,0.906,0.972
2737,197.784,0.000,0,0,852.471,1018.512,0.897,1,1.152,0.868,0.976
2738,210.008,0.000,0,0,14.558,1020.179,0.887,1,1.227,0.815,0.976
2739,127.327,1.156,0,255,330.382,1017.045,0.882,1,1.146,0.872,0.967
2740,199.410,18.717,0,255,147.198,1020.500,0.836,1,1.297,0.771,0.962
2741,263.310,40.493,0,255,55.870,1021.870,0.883,1,1.102,0.907,0.974
2742,270.340,1.930,0,255,133.814,1022.677,0.854,1,1.341,0.746,0.972
2743,125.491,0.000,0,0,160.943,1019.800,0.868,1,1.207,0.828,0.960
2744,339.905,46.757,0,255,293.587,1022.662,0.865,1,1.167,0.857,0.971
