 ,Area,Mean,Min,Max,X,Y,Circ.,Slice,AR,Round,Solidity
1380,404.487,1.885,0,255,787.620,497.413,0.758,1,1.528,0.654,0.944
1381,234.298,0.114,0,255,485.830,491.480,0.864,1,1.043,0.958,0.968
1382,231.098,1.505,0,255,601.265,491.171,0.860,1,1.161,0.862,0.968
1383,301.555,2.884,0,255,679.961,494.791,0.845,1,1.360,0.735,0.967
1384,136.875,0.098,0,255,326.887,490.833,0.878,1,1.158,0.863,0.967
1385,252.765,0.953,0,255,386.755,492.967,0.896,1,1.187,0.843,0.978
1386,229.209,2.218,0,255,624.368,492.534,0.875,1,1.297,0.771,0.975
1387,227.006,0.354,0,255,439.743,494.892,0.832,1,1.231,0.812,0.953
1388,212.474,0.315,0,255,274.652,494.992,0.821,1,1.227,0.815,0.961
1389,223.648,5.742,0,255,527.782,493.872,0.842,1,1.531,0.653,0.974
1390,275.691,1.165,0,255,506.917,496.381,0.883,1,1.019,0.981,0.976
1391,199.568,0.000,0,0,756.069,493.917,0.875,1,1.213,0.825,0.973
1392,199.515,0.134,0,255,37.006,496.283,0.825,1,1.269,0.788,0.956
1393,300.978,0.622,0,255,310.341,497.229,0.886,1,1.147,0.872,0.978
1394,270.287,1.138,0,255,668.176,496.941,0.845,1,1.365,0.733,0.970
1395,252.503,1.007,0,255,259.853,496.605,0.896,1,1.151,0.869,0.980
1396,169.349,0.000,0,0,16.795,495.292,0.781,1,1.258,0.795,0.939
1397,145.269,0.276,0,255,766.755,495.005,0.869,1,1.257,0.796,0.969
1398,136.508,0.098,0,255,329.393,497.010,0.875,1,1.117,0.895,0.966
1399,261.526,0.307,0,255,117.985,499.296,0.856,1,1.256,0.796,0.968
1400,205.811,0.000,0,0,201.674,497.669,0.857,1,1.366,0.732,0.974
1401,238.180,1.067,0,255,652.445,499.452,0.878,1,1.081,0.925,0.972
1402,310.002,0.475,0,255,480.010,500.630,0.855,1,1.179,0.848,0.972
1403,237.761,0.394,0,255,88.653,499.492,0.846,1,1.214,0.824,0.960
1404,333.924,0.321,0,255,560.288,500.457,0.823,1,1.451,0.689,0.965
1405,310.106,0.431,0,255,75.179,501.838,0.808,1,1.269,0.788,0.953
1406,144.954,15.689,0,255,399.840,499.326,0.833,1,1.405,0.712,0.960
1407,209.483,0.639,0,255,697.466,499.428,0.888,1,1.245,0.803,0.976
